,count,mean,std,min,25%,50%,75%,max
time_detained,29312.0,27.15402676852105,64.91995747196025,0.0027777777777777783,1.0756944444444445,3.1878472222222225,23.244097222222226,1314.5541666666666
log_time_detained,29312.0,1.4089321373710213,2.205102991012088,-5.886104031450156,0.07296644784682238,1.1593458310818603,3.146051213872174,7.181252850370524
imm_hold,29312.0,0.006413755458515284,0.07983004831106201,0.0,0.0,0.0,0.0,1.0
charge_topcount,29312.0,1.8797762008733625,1.7192924143936235,0.0,1.0,1.0,3.0,10.0
male,29312.0,0.7515352074235808,0.4321300846661268,0.0,1.0,1.0,1.0,1.0
female,29312.0,0.2484647925764192,0.43213008466612685,0.0,0.0,0.0,0.0,1.0
white,29312.0,0.5771697598253275,0.49401736226341636,0.0,0.0,1.0,1.0,1.0
black,29312.0,0.2425627729257642,0.4286401081065195,0.0,0.0,0.0,0.0,1.0
hispanic,29312.0,0.08665393013100436,0.2813320577281938,0.0,0.0,0.0,0.0,1.0
amer_indian_alaskan,29312.0,0.030431222707423582,0.17177360104569264,0.0,0.0,0.0,0.0,1.0
asian_pacific_island,29312.0,0.061067139737991265,0.23945751267026047,0.0,0.0,0.0,0.0,1.0
unknown,29312.0,0.002115174672489083,0.0459431465958321,0.0,0.0,0.0,0.0,1.0
max_seriousness,29312.0,3.9814751637554586,0.9554745933159181,0.0,3.0,4.0,5.0,6.0
public_order,29312.0,0.32157478165938863,0.46708873305951704,0.0,0.0,0.0,1.0,1.0
felony,29312.0,0.6863059497816594,0.46400154967756485,0.0,0.0,1.0,1.0,1.0
misdemeanor,29312.0,0.31202237991266374,0.4633268155711689,0.0,0.0,0.0,1.0,1.0
drug,29312.0,0.12302128820960699,0.32846724589660853,0.0,0.0,0.0,0.0,1.0
sex,29312.0,0.017364901746724892,0.1306290323121122,0.0,0.0,0.0,0.0,1.0
property,29312.0,0.26733078602620086,0.44257397028479245,0.0,0.0,0.0,1.0,1.0
violent,29312.0,0.2707082423580786,0.4443332368991541,0.0,0.0,0.0,1.0,1.0
