release_disposition_desc,jurisdiction_cd
Administrative Booking,SUP
Administrative Booking,TACM
Bail Bond,SUP
Bail Bond,TACM
Bail Bond,KINS
Bail Bond,SKGS
Bail Bond,FEDM
Bail Bond,KITD
Bail Bond,FIFM
Bail Bond,PD1
Bail Bond,DMM
Bail Bond,YELM
Bail Bond,LKM
Bail Bond,KING
Bail Bond,PUYM
Bail Bond,ROYM
Bail Bond,UPM
Bail Bond,SEAM
Bail Bond,TKWM
Bail Bond,RENM
Bail Bond,GHSC
Bail Bond,BONM
Bail Bond,WTMS
Bail Bond,SNOS
Bail Bond,RUSM
Bail Bond,LCYM
Bail Bond,JDKC
Bail Bond,LEWD
Bail Bond,GIGM
Bail Bond,THUD
Bail Bond,WHAD
Bail Bond,UKD
Bail Bond,LKD
Bail Bond,SHOD
Bail Bond,KTTS
Bail Bond,AUBM
Bail Bond,FIRM
Bail Bond,SUMM
Bail Bond,DOC
Bail Bond,MASS
Bail Bond,EVED
Bail Bond,KIRM
Bail Bond,DUPM
Bail Bond,BUCM
Bail Bond,ISSD
Bail Bond,EATM
Bail Bond,PACM
Bail Bond,BELD
Bail Bond,THSC
Bail Bond,OLYM
Bail Bond,KENM
Bail Bond,SEAD
Bail Bond,FEDD
Bail Bond,STEI
Bail Bond,OKAD
Bail Bond,SETD
Bail Bond,KSPS
Bail Bond,YKMS
Bail Bond,POM
Bail Bond,SPOD
Bail Bond,SKAD
Bail Bond,COW
Bail Bond,EGM
Bail Bond,JFFS
Bail Bond,MIMC
Bail Bond,BREM
Bail Bond,CHCD
Balance of Sentence Suspended,SUP
Breaking the Cycle,SUP
Cancel Detainer,DOC
Cancel Detainer,AFA
Cancel Detainer,JRA
Cancel Detainer,KINS
Cancel Detainer,TKWM
Cancel Detainer,OTHR
Cancel Detainer,PD1
Cancel Detainer,JUV
Cancel Detainer,SUP
Cancel Detainer,JDKC
Cancel Detainer,UKD
Cancel Detainer,SKMS
Cancel Detainer,IMM
Cancel Detainer,FEDM
Cancel Detainer,CLAD
Cancel Detainer,KING
