place_of_birth,country_of_birth
ABSENTEE SHAWNEE,UNITED STATES OF AMERICA
AFGHANISTAN,AFGHANISTAN
ALABAMA,UNITED STATES OF AMERICA
ALASKA,UNITED STATES OF AMERICA
ALBERTA,CANADA
AMERICAN SAMOA,UNITED STATES OF AMERICA
ANDORRA,ANDORRA
ARGENTINA,ARGENTINA
ARIZONA,UNITED STATES OF AMERICA
ARKANSAS,UNITED STATES OF AMERICA
ARMENIA,ARMENIA
AUSTRIA,AUSTRIA
BAJA CALIFORNIA NORTHERN,MEXICO
BELGIUM,BELGIUM
BOSNIA AND HERCEGOVENA,BOSNIA AND HERCEGOVENA
BRAZIL,BRAZIL
BRITISH COLUMBIA,CANADA
BURMA,BURMA
BYELARUS,BYELARUS
CALIFORNIA,UNITED STATES OF AMERICA
CAMBODIA,CAMBODIA
CANADA (WHEN PROVINCE UNKNOWN),CANADA
CHIAPAS,MEXICO
COLOMBIA,COLOMBIA
COLORADO,UNITED STATES OF AMERICA
CONNECTICUT,UNITED STATES OF AMERICA
CUBA,CUBA
CZECH REPUBLIC,CZECH REPUBLIC
DELAWARE,UNITED STATES OF AMERICA
DISTRICT OF COLUMBIA,UNITED STATES OF AMERICA
DISTRITOFEDERAL,MEXICO
DOMINICA,DOMINICA
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC
DURANGO,MEXICO
EGYPT,EGYPT
EL SALVADOR,EL SALVADOR
ENGLAND,ENGLAND
ERETRIA,ERETRIA
ESTONIA,ESTONIA
ETHIOPIA,ETHIOPIA
FEDERATED STATES OF MICRONESIA,FEDERATED STATES OF MICRONESIA
FIJI,FIJI
FLORIDA,UNITED STATES OF AMERICA
FRANCE,FRANCE
GABON,GABON
GEORGIA,UNITED STATES OF AMERICA
GERMANY,GERMANY
GHANA,GHANA
GUAM,UNITED STATES OF AMERICA
GUANAJUATO,MEXICO
GUATEMALA,GUATEMALA
GUERRERO,MEXICO
HAITI,HAITI
HAWAII,UNITED STATES OF AMERICA
HONDURAS,HONDURAS
HONG KONG,HONG KONG
ICELAND,ICELAND
IDAHO,UNITED STATES OF AMERICA
ILLINOIS,UNITED STATES OF AMERICA
INDIA,INDIA
INDIANA,UNITED STATES OF AMERICA
IOWA,UNITED STATES OF AMERICA
IRAN,IRAN
IRAQ,IRAQ
IRELAND,IRELAND
ITALY,ITALY
JALISCO,MEXICO
JAMAICA,JAMAICA
JAPAN,JAPAN
KANSAS,UNITED STATES OF AMERICA
KAZAKHSTAN,KAZAKHSTAN
KENTUCKY,UNITED STATES OF AMERICA
KENYA,KENYA
LAOS,LAOS
LIBERIA,LIBERIA
LITHUANIA,LITHUANIA
LOUISIANA,UNITED STATES OF AMERICA
MAINE,UNITED STATES OF AMERICA
MALAYSIA,MALAYSIA
MANITOBA,CANADA
MARIANA ISLANDS,UNITED STATES OF AMERICA
MARSHALL ISLANDS,UNITED STATES OF AMERICA
MARYLAND,UNITED STATES OF AMERICA
MASSACHUSETTS,UNITED STATES OF AMERICA
MEXICO (USE ONLY WHEN STATE UNK),MEXICO
MEXICOSTATE,MEXICO
MICHIGAN,UNITED STATES OF AMERICA
MICHOACAN,MEXICO
MILLE LACS,UNITED STATES OF AMERICA
MINNESOTA,UNITED STATES OF AMERICA
MISSISSIPPI,UNITED STATES OF AMERICA
MISSOURI,UNITED STATES OF AMERICA
MOLDOVA,MOLDOVA
MONGOLIA,MONGOLIA
MONTANA,UNITED STATES OF AMERICA
MOROCCO,MOROCCO
Namibia (South-West Africa),Namibia (South-West Africa)
NEBRASKA,UNITED STATES OF AMERICA
NEVADA,UNITED STATES OF AMERICA
NEW HAMPSHIRE,UNITED STATES OF AMERICA
NEW JERSEY,UNITED STATES OF AMERICA
NEW MEXICO,UNITED STATES OF AMERICA
NEW YORK,UNITED STATES OF AMERICA
NEW ZEALAND,NEW ZEALAND
