booking_charge_desc,seriousness,category,type,notes,src,,,,,
POSS ANOTHER'S ID,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.56.330,,,,,
ABANDON DEPENDENT SECOND,,class C felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.070,,,,,
ABANDONMENT DEPENDENT PERSON 3,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.080,,,,,
ABANDONMNT 3,,gross misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.080,,,,,
AGG BEG,,misdemeanor,public order,"Lakewood city ordinance, may be unconstiutional?",https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,,,,,
AGGR MURDER 1,,class A felony,violent,,http://apps.leg.wa.gov/RCW/default.aspx?cite=10.95.020,,,,,
AGRESSIVE BEGGING,,misdemeanor,public order,"Lakewood city ordinance, may be unconstiutional?",https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,,,,,
AIDING/ABETTING VIOLATIONS,,,other,?,,,,,,
AIM/DISCHARGE FIREARM,,gross misdemeanor,violent,public order?,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230,,,,,
ALIEN IN POSSESSION OF FIREARM,,class C felony,violent,public order?,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.171,,,,,
ALLOW UNAUTH DRIVER,,misdemeanor,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.520,,,,,
ALT ID MARKS,,other,other,"RCW only refers to exceptions, doesn't list seriousness",https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.140,,,,,
ALTER ID MARKS ON FIREARM,,other,public order,"RCW only refers to exceptions, doesn't list seriousness",https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.140,,,,,
ALTERATION OR FORGERY,,class B felony,public order,,https://app.leg.wa.gov/rcw/default.aspx?cite=46.87.260,,,,,
ANIMAL CRUELTY 1 (C),,class C felony,violent,public order? sex?,https://app.leg.wa.gov/rcw/default.aspx?cite=16.52.205,,,,,
ANIMAL CRUELTY 2,,gross misdemeanor,violent,public order?,https://app.leg.wa.gov/rcw/default.aspx?cite=16.52.207,,,,,
ANIMALS INJURING HUMANS OR DOMESTIC,,misdemeanor,public order,?,,,,,,
ANTI-HARAS /DV,,gross misdemeanor,public order,can be class C felony depending on circumstances,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
ANTI-HARASSMENT ORDER,,gross misdemeanor,public order,can be class C felony depending on circumstances,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
ARSON 1,,class A felony,property,violent?,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.020,,,,,
ARSON 2,,class B felony,property,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.030,,,,,
ASLT 1 / DV,,class A felony,violent,not sure if DV changes seriousness?,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.011,,,,,
ASLT 1,,class A felony,violent,,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.011,,,,,
ASLT 2 -DV,,class B felony,violent,not sure if DV changes seriousness?,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.36.021,,,,,
ASLT 2,,class B felony,violent,,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.36.021,,,,,
