,count,mean,std,min,25%,50%,75%,max
time_detained,29313.0,27.15556254430163,64.91938255921482,0.0027777777777777783,1.0756944444444445,3.188194444444445,23.247222222222234,1314.5541666666666
log_time_detained,29313.0,1.4090300503482298,2.2051290974196314,-5.886104031450156,0.07296644784682238,1.1594547516791758,3.1461856505827184,7.181252850370524
imm_hold,29313.0,0.006413536656091154,0.07982869535938138,0.0,0.0,0.0,0.0,1.0
charge_topcount,29313.0,1.8823730085627537,1.7211282388273939,0.0,1.0,1.0,3.0,10.0
male,29313.0,0.7515095691331491,0.43214500749670004,0.0,1.0,1.0,1.0,1.0
female,29313.0,0.24849043086685088,0.43214500749670004,0.0,0.0,0.0,0.0,1.0
white,29313.0,0.5771841844915225,0.4940151084262916,0.0,0.0,1.0,1.0,1.0
black,29313.0,0.24255449800429843,0.42863513773858614,0.0,0.0,0.0,0.0,1.0
hispanic,29313.0,0.08665097397059325,0.2813277140396249,0.0,0.0,0.0,0.0,1.0
amer_indian_alaskan,29313.0,0.030430184559751647,0.17177076289069493,0.0,0.0,0.0,0.0,1.0
asian_pacific_island,29313.0,0.06106505645959131,0.23945369364883867,0.0,0.0,0.0,0.0,1.0
unknown,29313.0,0.0021151025142428274,0.04594236455846189,0.0,0.0,0.0,0.0,1.0
max_seriousness,29313.0,3.981339337495309,0.9557412526571053,0.0,3.0,4.0,5.0,6.0
public_order,29313.0,0.32166615494831646,0.46712362780985267,0.0,0.0,0.0,1.0,1.0
felony,29313.0,0.6862825367584349,0.46401094984189234,0.0,0.0,1.0,1.0,1.0
misdemeanor,29313.0,0.3120117354074984,0.46332249639978634,0.0,0.0,0.0,1.0,1.0
drug,29313.0,0.12414287176338143,0.329750100234047,0.0,0.0,0.0,0.0,1.0
sex,29313.0,0.017637225804250672,0.13163109497536682,0.0,0.0,0.0,0.0,1.0
property,29313.0,0.26715109337154164,0.44247945252285775,0.0,0.0,0.0,1.0,1.0
violent,29313.0,0.2694026541125098,0.44365705098833697,0.0,0.0,0.0,1.0,1.0
