booking_charge_desc,booking_charge_txt
"FEL HARASS-DV, DV-THREATS/DEATH THRT",
ASLT 3,
UNL TRANSIT COND,
COMM CUSTODY JAIL,
THEFT 2,
OBSTR PUB SERV,
PROBAT HLD,
ASSAULT 4 /DV,
INTIM W/WPN /DV,
UPCS,
DRUG PARA,
THEFT 3,
THEFT 3RD,
VIO NC ORD /DV,
DWLS/DWLR,
THEFT W/INTENT RESELL 2,
ASLT 1 / DV,
MAL MISCH 3 /DV,3RD
DEST PROP /DV,
INTERFERE W/ RPT /DV,
VIOL OF SENTENCE/NCO DV,
DWI,
PSP 3,
POSSESS STOLEN VEHICLE,
TRAFFICKING STOL PROP 1,
MAL MISCH 3,
VEH PROWL,2ND
BURGLARY 2,
FIREALARM/EQUIPMENT TAMPERING,
DUI WITH PRIOR CONVICTION,
VIO REST OR /DV,
DWLS/R 1ST/2ND,
VIO PROT OR /DV,
HOLD REMANN HALL,
RECK DRV,
IDENT THFT 2,
ASLT 4,
RESIS ARR,
INTERF PO,
DWI,2 PRIORS
IDENT THFT 1,
FORGERY,
HIT/RUN ATT,
DWLS/DWLR,3RD
POSS DANG WEAPON,
ASLT 2 -DV,
UPCS W INTENT,
OBSTR PO,
ASLT 1,
POSS ANOTHER'S ID,
UNLAW POSS PERSONAL IDENT DEVICE,
POSS BURG TOOL,
OBSTR-FALSE CHRG/STATEMENTS,
CRIM TRESP,
OPERATE VEH W/O IGN INTERLOCK DEV,
THEFT 1,
THEFT OF MV,
TMVWOP 1,
PEDDLING/SOLICT W/O LICENSE,
RES BURGLARY,
COMM CUSTODY JAIL,UPCS
ROBBERY 2,
DRUG LOITERING PROHIBITED,
FALSE STATEMENT TO PUB SERVANT,
UNL POSS FIREARM 2,
FAIL REGIS S/O,
MAL MISCH 3 /DV,
FAIL TO OBEY,
UNL POSS FIREARM 1,
THEFT 3  /DV,
UNLAW DEL CS,
MAKE POSSESS MTR VEH THFT TOOLS,
ASLT 3 / DV,
ROBBERY 1,
CRIM IMPERSON 1,
RECKLES ENDANGER OF HI-WAY WORKER,
CRIM ASLT /DV,
OBTAIN CS BY FRAUD,
IM UPCS W INT,
DISO PERS/CONDUCT,
CRIM TRESP 1,
FEL HARASS (NON DV),
CRIM TRESP,1ST DEGREE
FTR ACC (PROP),
FUGITIVE,STOLEN VEHICLE
COMM CUSTODY JAIL,FTRSO
NVOL,
RESIST ARR,
TRESPASS 2,
UPCS,METH
POSS OF A STOLEN FIREARM,
PSP 2,
SEX/KIDNAP OFFNDR FAIL TO REGISTER,
MAL MISC 3 /DV,
ASLT 2,
ENTRY ERROR,
HOLD WSI,
ESCAPE 1,
CARRY CONCEALED WPN W/O PERMIT,
UNLAW DEL CS,DRUG COURT VIOL
POSS MARIJUANA - 40 GRAMS OR LESS,
MAL MISCH 2,
CRIM TRSP 2 /DV,
DWLS/DWLR,3RD DEGREE
FORGERY,FTA SUMMONS
FEL PUR/ELUDE,
UPCS W INTENT,DRUG COURT
DWLS/DWLR,DRUG COURT
UPCS,DRUG COURT
DUTY ON STRIKING PROPERTY,
ASLT 2,FTA STATUS HRG
THEFT 2,FTA PLEA
MAL MISCH 1,
FALSE INFO,
DUTY IF INJURY OCCURS - VEH ACC,
FAILURE TO HAVE IGNITION INTERLOCK,
HARASS/THREATEN BOD. INJ,
HARASS  /DV,
COMM CUSTODY JAIL,IDENT THEFT 2ND X 3
COMM CUSTODY JAIL,ASLT 3
FEL DV CRT ORD VIO,
NON-SUPPORT,
RES BURGLARY,D/V
DV CT ORD VIO 2X CONVICTIONS,
RECK BURN 1,
ORGANIZED RETAIL THEFT 2 ND,
ILL DRUG COND/PARA,
TMVWOP 2,
MTR VEH TRANSFER OF OWNERSHIP VIOL,
DUI W/ PRIOR CONVICTION,
REFUSE TO GIVE INFO/COOPERATE W/0,
RETAIL THFT W/EXT CIRCUMSTANCES 3,
CARRYDANGWPNKNIFE,
HOLD MAT WITNESS,
HOLD MISC,
CRIMINAL ASLT,
RECK ENDANGER,
OPER VEH. W/O IGNITION INTERLOCK,
FELONY DUI,
INTRO CONTRA 3,
PROBAT HLD,DRUG PARA
COMM CUSTODY JAIL,IDENT THEFT/UPCS
POSS LEG. DRUG/PROHIBITED ACT,
POSS. MOTOR VEHICLE  THEFT TOOLS,
VIOL N/C ORDER,
AUTO THFT TOOLS,
VIO TRIP PERMIT,
PHYSICAL CNTRL,
PROBAT HLD,UPCS
VIOL COURT ORD /DV,
RECK ENDAN /DV,
MATERIAL WITNESS - MISD,
PUB DIST-VEH SND SYS,
FAIL TO STOP AND GIVE INFO,
PSP 1,
FEL POSS DANGEROUS WEAPON,
UNLAW POS PAY INSTR,
DESTRUCTION OF PROP,
CRIM TRESP /DV,
RAPE 2,
INTIM W/ A WEAPON,
POSS INJ DEVICE,
FEL VEHICLE PROWL,2ND DEGREE
TAMPERING W/PHYSICAL EVIDENCE,
UU BLDG DRUGS,
RES BURGLARY,ATT
CRIM TRESP 2,
VEH PROWL,
COMM CUSTODY JAIL,ROB 2/ASLT 2
UNLAW IMPRISON,DV
CHILD RAPE 1,
BAIL JUMP,
FTR ACC (INJ),
VEH ASLT,
RACING,
CHILD RAPE 3,
POSS DEP MIN ENG SEX EXP CONDUCT,
FTR INJ ACC,
THFT RENT/LEAS PROP,
CARRYING A FIREARM - NO PERMIT,
