jurisdiction,booking_charge_desc,seriousness,category,type,notes,rcw,src,,,,,
pierce,ABANDON DEPENDENT SECOND,,class C felony,public order,,9A.42.070,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.070,,,,,
pierce,ABANDONMENT DEPENDENT PERSON 3,,gross misdemeanor,public order,,9A.42.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.080,,,,,
pierce,ABANDONMNT 3,,gross misdemeanor,public order,,9A.42.080,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.42.080,,,,,
pierce,AGG BEG,,misdemeanor,public order,"Lakewood city ordinance, may be unconstiutional?",https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,,,,,
pierce,AGGR MURDER 1,,class A felony,violent,,10.95.020,http://apps.leg.wa.gov/RCW/default.aspx?cite=10.95.020,,,,,
pierce,AGGRESIVE BEGGING,,misdemeanor,public order,,,,,,,,
pierce,AGRESSIVE BEGGING,,misdemeanor,public order,"Lakewood city ordinance, may be unconstiutional?",https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,https://www.cityoflakewood.us/documents/police/crime_prevention_pamphlets_-_english/agressive_begging_brochure.pdf,,,,,
pierce,AIDING/ABETTING VIOLATIONS,,other,other,?,,,,,,,
pierce,AIM/DISCHARGE FIREARM,,gross misdemeanor,violent,public order?,9.41.230,http://app.leg.wa.gov/rcw/default.aspx?cite=9.41.230,,,,,
pierce,ALCOHL IN PARK,,civil infraction,public order,,66.44.100,http://apps.leg.wa.gov/RCW/default.aspx?cite=66.44.100,,,,,
pierce,ALIEN IN POSSESSION OF FIREARM,,class C felony,public order,public order?,9.41.171,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.171,,,,,
pierce,ALLOW UNAUTH DRIVER,,misdemeanor,public order,,46.16A.520,https://app.leg.wa.gov/rcw/default.aspx?cite=46.16A.520,,,,,
pierce,ALT ID MARKS,,unknown,other,"RCW only refers to exceptions, doesn't list seriousness",9.41.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.140,,,,,
pierce,ALTER ID MARKS ON FIREARM,,unknown,public order,"RCW only refers to exceptions, doesn't list seriousness",9.41.140,https://app.leg.wa.gov/rcw/default.aspx?cite=9.41.140,,,,,
pierce,ALTERATION OR FORGERY,,class B felony,public order,,46.87.260,https://app.leg.wa.gov/rcw/default.aspx?cite=46.87.260,,,,,
pierce,ANIMAL CRUELTY 1 (C),,class C felony,violent,,16.52.205,https://app.leg.wa.gov/rcw/default.aspx?cite=16.52.205,,,,,
pierce,ANIMAL CRUELTY 2,,gross misdemeanor,violent,public order?,16.52.207,https://app.leg.wa.gov/rcw/default.aspx?cite=16.52.207,,,,,
pierce,ANIMAL CRUELTY SECOND DEGREE,,gross misdemeanor,violent,,16.52.207(3),,,,,,
pierce,ANIMALS INJURING HUMANS OR DOMESTIC,,misdemeanor,public order,?,,,,,,,
pierce,ANTI-HARAS /DV,,gross misdemeanor,public order,can be class C felony depending on circumstances,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,ANTI-HARASSMENT ORDER,,gross misdemeanor,public order,can be class C felony depending on circumstances,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110,,,,,
pierce,ARSON 1,,class A felony,property,violent?,9A.48.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.020,,,,,
pierce,ARSON 2,,class B felony,property,,9A.48.030,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.48.030,,,,,
pierce,ASLT 1,,class A felony,violent,,9A.36.011,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.011,,,,,
pierce,ASLT 1 / DV,,class A felony,violent,not sure if DV changes seriousness?,9A.36.011,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.011,,,,,
pierce,ASLT 2,,class B felony,violent,,9A.36.021,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.36.021,,,,,
pierce,ASLT 2 -DV,,class B felony,violent,not sure if DV changes seriousness?,9A.36.021,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.36.021,,,,,
pierce,ASLT 3,,class C felony,violent,,9a.36.031,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.36.031,,,,,
pierce,ASLT 3 / DV,,class C felony,violent,not sure if DV changes seriousness?,9a.36.031,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.36.031,,,,,
pierce,ASLT 4,,gross misdemeanor,violent,,9A.36.041,http://apps.leg.wa.gov/rcw/default.aspx?cite=9A.36.041,,,,,
