,jurisdiction,booking_charge_desc,charge_count,seriousness,category,type,magda notes,notes,rcw,src
480,pierce,DWLS/DWLR,5602,,misdemeanor,public order,could be gross misd,can by gross misdemeanor,46.20.342,http://app.leg.wa.gov/rcw/default.aspx?cite=46.20.342
224,pierce,COMM CUSTODY JAIL,5025,,other,other,,other?,,
1621,pierce,UPCS,4489,,class C felony,drug,,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
475,pierce,DWI,3718,,gross misdemeanor,public order,,,46.61.502,http://app.leg.wa.gov/rcw/default.aspx?cite=46.61.502
62,pierce,ASSAULT 4 /DV,2711,,class C felony,violent,could be gross misdemeanor,,9A.36.041,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.041
1418,pierce,THEFT 3,2443,,gross misdemeanor,property,,,9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050
286,pierce,CRIM ASLT /DV,2004,,class C felony,violent,ambiguous,based on assult in 4th degree + dv,9A.36.041,http://app.leg.wa.gov/rcw/default.aspx?cite=9A.36.041
1674,pierce,VIO NC ORD /DV,1786,,gross misdemeanor,public order,could be class C- ambiguous,,26.50.110,http://app.leg.wa.gov/rcw/default.aspx?cite=26.50.110
1120,pierce,POSSESS STOLEN VEHICLE,1739,,class B felony,property,,,9a.56.068,http://app.leg.wa.gov/RCW/default.aspx?cite=9a.56.068
1420,pierce,THEFT 3RD,1538,,gross misdemeanor,property,,,9A.56.050,http://apps.leg.wa.gov/RCW/default.aspx?cite=9A.56.050
434,pierce,DRUG PARA,1388,,misdemeanor,drug,,,69.50.412,https://app.leg.wa.gov/rcw/default.aspx?cite=69.50.412
988,pierce,OBSTR PO,1176,,gross misdemeanor,public order,,,9A.76.020,https://app.leg.wa.gov/rcw/default.aspx?cite=9A.76.020
1159,pierce,PROBAT HLD,1124,,other,other,,,,
164,pierce,BURGLARY 2,1095,,class B felony,property,,,9a.52.030,http://apps.leg.wa.gov/rcw/default.aspx?cite=9a.52.030
295,pierce,CRIM TRESP,875,,gross misdemeanor,property,can be simple misdemeanor,,,
1626,pierce,UPCS W INTENT,870,,class C felony,drug,,,69.50.401,http://app.leg.wa.gov/rcw/default.aspx?cite=69.50.401
