,booking_id,booking_dt,release_dt,booking_charge_desc,booking_charge_txt,charge_release_dt,title_txt,cause_num,jurisdiction_cd,release_disposition_desc,post_flg,gender_desc,race_desc,hash_id,amer_indian_alaskan,asian_pacific_island,black,hispanic,unknown,white,female,male,place_of_birth,country_of_birth,born_in_us,time_detained,log_time_detained,admin_booking,release_to_imm,cancel_detainer,imm_hold,final_release_disp,charge_count,charge_topcount,category,type,seriousness,max_seriousness,max_charge_type,max_charge_desc,drug,other,property,public_order,sex,violent,felony,misdemeanor
8,0007a46fa0c866514bb6ee2970e79f34eb2a31b1,2016-11-19 11:53:00,2016-11-20 12:38:00,ASSAULT 4 /DV,,2016-11-20 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Cash Bail",,PD1,Cash Bail,N,MALE,ASIAN/PACIFIC ISLAND,ec49d4a0751b6c4f2483082a45c4eb8a8e0e7474,0,1,0,0,0,0,0,1,ALASKA,UNITED STATES OF AMERICA,True,1.03125,0.030771658666753687,0,0,0,0,Cash Bail,0,0,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
9,000de109bb900f8d706aa8a0b627255378681409,2017-10-24 10:59:00,2017-10-25 13:10:00,INTIM W/WPN /DV,,2017-10-25 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF Final",,TACM,NCF Final,N,FEMALE,BLACK,c821e3402cf36778fda7c5bf28b8730b032cef9f,0,0,1,0,0,0,1,0,ARIZONA,UNITED STATES OF AMERICA,True,1.0909722222222222,0.08706924568557486,0,0,0,0,NCF Final,0,0,gross misdemeanor,violent,3.0,3.0,violent,INTIM W/WPN /DV,0,0,0,0,0,1,0,1
10,000ec60dd1b474e9520501f905f72d6d066d0f2c,2016-10-06 20:08:00,2016-10-07 17:45:00,DRUG PARA,,2016-10-07 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,SUP,"NCF, Pending Inv",N,MALE,ASIAN/PACIFIC ISLAND,5169e0ce7df61f889996bcf6053c7b85c0d49ac3,0,1,0,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.9006944444444445,-0.1045892082536024,0,0,0,0,"NCF, Pending Inv",0,0,misdemeanor,drug,2.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
11,000ec60dd1b474e9520501f905f72d6d066d0f2c,2016-10-06 20:08:00,2016-10-07 17:45:00,UPCS,,2016-10-07 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,SUP,"NCF, Pending Inv",N,MALE,ASIAN/PACIFIC ISLAND,5505f5cfddd5a67000cbf3e61062e42c79f8d214,0,1,0,0,0,0,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,0.9006944444444445,-0.1045892082536024,0,0,0,0,"NCF, Pending Inv",0,0,class C felony,drug,4.0,4.0,drug,UPCS,1,0,0,0,0,0,1,0
35,00251461ef58284d4072f7be64eac9f8d61f92fe,2017-09-22 03:37:00,2017-09-25 12:55:00,DUI WITH PRIOR CONVICTION,,2017-09-25 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,MALE,WHITE,508032f283c7d2d93fa894085a968eab62419d48,0,0,0,0,0,1,0,1,CALIFORNIA,UNITED STATES OF AMERICA,True,3.3875,1.2200921862058194,0,0,0,0,"NCF, Pending Inv",0,0,class B felony,public_order,5.0,5.0,public_order,DUI WITH PRIOR CONVICTION,0,0,0,1,0,0,1,0
42,002d2d1a5e8e913fc7f38ff87a86fae63a8fd661,2018-07-14 01:03:00,2018-07-16 12:20:00,VIO PROT OR /DV,,2018-07-16 15:00:00,"Report Criteria: 10/01/2017 to 07/31/2018, Disposition: NCF Final",,TACM,NCF Final,N,FEMALE,WHITE,e0987113113083972f802b2f8e35f44c6cb48244,0,0,0,0,0,1,1,0,WYOMING,UNITED STATES OF AMERICA,True,2.470138888888889,0.9042743793784088,0,0,0,0,NCF Final,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,VIO PROT OR /DV,0,0,0,1,0,0,0,1
47,00339ca6f60362a3a47eb55836a407d993842001,2017-05-01 08:37:00,2017-05-01 18:55:00,INTERF PO,,2017-05-01 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,TACM,Bail Bond,N,FEMALE,BLACK,eacd45d4f3ac6ea45fe9e1da5c2e5c6bafa6c926,0,0,1,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.42916666666666653,-0.8459099351123556,0,0,0,0,Bail Bond,0,0,gross misdemeanor,public_order,3.0,3.0,public_order,INTERF PO,0,0,0,1,0,0,0,1
48,00339ca6f60362a3a47eb55836a407d993842001,2017-05-01 08:37:00,2017-05-01 18:55:00,RESIS ARR,,2017-05-01 22:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: Bail Bond",,TACM,Bail Bond,N,FEMALE,BLACK,97f47f4dbbd45a620141e11a1e836a226a8cd8e3,0,0,1,0,0,0,1,0,WASHINGTON,UNITED STATES OF AMERICA,True,0.42916666666666653,-0.8459099351123556,0,0,0,0,Bail Bond,0,0,misdemeanor,public_order,2.0,3.0,public_order,INTERF PO,0,0,0,1,0,0,0,1
50,0034308213cd845e3c964e7b278c29af22d56e30,2017-09-09 01:04:00,2017-09-11 13:37:00,ASSAULT 4 /DV,,2017-09-11 15:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF Final",,PD1,NCF Final,N,MALE,WHITE,e310d7d3aebd60afe901c3389bbe1cc971fa0e95,0,0,0,0,0,1,0,1,WASHINGTON,UNITED STATES OF AMERICA,True,2.5229166666666667,0.9254156396511556,0,0,0,0,NCF Final,0,0,class C felony,violent,4.0,4.0,violent,ASSAULT 4 /DV,0,0,0,0,0,1,1,0
51,0036009d4bbc1ffde211ece940378395d666fc8c,2016-12-07 00:10:00,2016-12-08 13:20:00,DWI,,2016-12-08 21:00:00,"Report Criteria: 10/01/2016 to 09/30/2017, Disposition: NCF, Pending Inv",,PD1,"NCF, Pending Inv",N,MALE,WHITE,da48ea237323370818f96b757ed416a9371ce871,0,0,0,0,0,1,0,1,NEW MEXICO,UNITED STATES OF AMERICA,True,1.5486111111111112,0.4373584718841182,0,0,0,0,"NCF, Pending Inv",0,0,gross misdemeanor,public_order,3.0,3.0,public_order,DWI,0,0,0,1,0,0,0,1
